AVG: 66.23809523809524 5.761904761904762  MAX: 68.42857142857143 15.285714285714286  MIN: 64.85714285714286 1.0 
AVG: 60.285714285714285 1.0  MAX: 62.0 1.0  MIN: 58.42857142857143 1.0 
AVG: 58.23809523809524 1.0  MAX: 62.0 1.0  MIN: 55.57142857142857 1.0 
AVG: 56.1904761904762 1.0  MAX: 60.42857142857143 1.0  MIN: 53.0 1.0 
AVG: 53.904761904761905 1.0  MAX: 54.714285714285715 1.0  MIN: 52.42857142857143 1.0 
AVG: 53.42857142857142 1.0  MAX: 54.42857142857143 1.0  MIN: 52.42857142857143 1.0 
AVG: 53.38095238095238 1.0  MAX: 54.42857142857143 1.0  MIN: 52.285714285714285 1.0 
AVG: 52.904761904761905 1.0  MAX: 53.285714285714285 1.0  MIN: 52.285714285714285 1.0 
AVG: 52.57142857142858 1.0  MAX: 52.857142857142854 1.0  MIN: 52.0 1.0 
AVG: 52.42857142857142 1.0  MAX: 52.714285714285715 1.0  MIN: 51.857142857142854 1.0 
AVG: 51.904761904761905 1.0  MAX: 52.285714285714285 1.0  MIN: 51.714285714285715 1.0 
AVG: 51.57142857142858 1.0  MAX: 52.142857142857146 1.0  MIN: 51.0 1.0 
AVG: 51.333333333333336 1.0  MAX: 52.0 1.0  MIN: 50.57142857142857 1.0 
AVG: 51.285714285714285 1.0  MAX: 52.0 1.0  MIN: 50.57142857142857 1.0 
AVG: 51.23809523809524 1.0  MAX: 52.0 1.0  MIN: 50.42857142857143 1.0 
AVG: 51.23809523809524 1.0  MAX: 52.0 1.0  MIN: 50.42857142857143 1.0 
AVG: 51.23809523809524 1.0  MAX: 52.0 1.0  MIN: 50.42857142857143 1.0 
AVG: 51.19047619047618 1.0  MAX: 51.857142857142854 1.0  MIN: 50.42857142857143 1.0 
AVG: 51.19047619047618 1.0  MAX: 51.857142857142854 1.0  MIN: 50.42857142857143 1.0 
AVG: 51.19047619047618 1.0  MAX: 51.857142857142854 1.0  MIN: 50.42857142857143 1.0 
AVG: 51.095238095238095 1.0  MAX: 51.857142857142854 1.0  MIN: 50.42857142857143 1.0 
AVG: 51.095238095238095 1.0  MAX: 51.857142857142854 1.0  MIN: 50.42857142857143 1.0 
AVG: 51.0 1.0  MAX: 51.857142857142854 1.0  MIN: 50.142857142857146 1.0 
AVG: 50.904761904761905 1.0  MAX: 51.857142857142854 1.0  MIN: 50.0 1.0 
AVG: 50.904761904761905 1.0  MAX: 51.857142857142854 1.0  MIN: 50.0 1.0 
AVG: 50.76190476190476 1.0  MAX: 51.42857142857143 1.0  MIN: 50.0 1.0 
AVG: 50.76190476190476 1.0  MAX: 51.42857142857143 1.0  MIN: 50.0 1.0 
AVG: 50.666666666666664 1.0  MAX: 51.285714285714285 1.0  MIN: 49.857142857142854 1.0 
AVG: 50.666666666666664 1.0  MAX: 51.285714285714285 1.0  MIN: 49.857142857142854 1.0 
AVG: 50.61904761904762 1.0  MAX: 51.285714285714285 1.0  MIN: 49.857142857142854 1.0 
AVG: 50.61904761904762 1.0  MAX: 51.285714285714285 1.0  MIN: 49.857142857142854 1.0 
AVG: 50.52380952380952 1.0  MAX: 51.285714285714285 1.0  MIN: 49.857142857142854 1.0 
AVG: 50.52380952380952 1.0  MAX: 51.285714285714285 1.0  MIN: 49.857142857142854 1.0 
AVG: 50.52380952380952 1.0  MAX: 51.285714285714285 1.0  MIN: 49.857142857142854 1.0 
AVG: 50.52380952380952 1.0  MAX: 51.285714285714285 1.0  MIN: 49.857142857142854 1.0 
AVG: 50.52380952380952 1.0  MAX: 51.285714285714285 1.0  MIN: 49.857142857142854 1.0 
AVG: 50.52380952380952 1.0  MAX: 51.285714285714285 1.0  MIN: 49.857142857142854 1.0 
AVG: 50.52380952380952 1.0  MAX: 51.285714285714285 1.0  MIN: 49.857142857142854 1.0 
AVG: 50.47619047619048 1.0  MAX: 51.285714285714285 1.0  MIN: 49.714285714285715 1.0 
AVG: 50.47619047619048 1.0  MAX: 51.285714285714285 1.0  MIN: 49.714285714285715 1.0 
AVG: 50.47619047619048 1.0  MAX: 51.285714285714285 1.0  MIN: 49.714285714285715 1.0 
AVG: 50.47619047619048 1.0  MAX: 51.285714285714285 1.0  MIN: 49.714285714285715 1.0 
AVG: 50.47619047619048 1.0  MAX: 51.285714285714285 1.0  MIN: 49.714285714285715 1.0 
AVG: 50.47619047619048 1.0  MAX: 51.285714285714285 1.0  MIN: 49.714285714285715 1.0 
AVG: 50.47619047619048 1.0  MAX: 51.285714285714285 1.0  MIN: 49.714285714285715 1.0 
AVG: 50.47619047619048 1.0  MAX: 51.285714285714285 1.0  MIN: 49.714285714285715 1.0 
AVG: 50.42857142857142 1.0  MAX: 51.285714285714285 1.0  MIN: 49.714285714285715 1.0 
AVG: 50.42857142857142 1.0  MAX: 51.285714285714285 1.0  MIN: 49.714285714285715 1.0 
AVG: 50.42857142857142 1.0  MAX: 51.285714285714285 1.0  MIN: 49.714285714285715 1.0 
AVG: 50.42857142857142 1.0  MAX: 51.285714285714285 1.0  MIN: 49.714285714285715 1.0 
