 447.0 447.0   478.0 478.0   411.0 411.0 
 302.6666666666667 302.6666666666667   342.0 342.0   270.0 270.0 
 314.3333333333333 314.3333333333333   343.0 343.0   290.0 290.0 
 276.3333333333333 276.3333333333333   296.0 296.0   263.0 263.0 
 273.3333333333333 273.3333333333333   296.0 296.0   261.0 261.0 
 261.3333333333333 261.3333333333333   263.0 263.0   260.0 260.0 
 261.3333333333333 261.3333333333333   263.0 263.0   260.0 260.0 
 261.3333333333333 261.3333333333333   263.0 263.0   260.0 260.0 
 261.3333333333333 261.3333333333333   263.0 263.0   260.0 260.0 
 258.0 258.0   263.0 263.0   251.0 251.0 
 258.0 258.0   263.0 263.0   251.0 251.0 
 258.0 258.0   263.0 263.0   251.0 251.0 
 258.0 258.0   263.0 263.0   251.0 251.0 
 258.0 258.0   263.0 263.0   251.0 251.0 
 252.66666666666666 252.66666666666666   263.0 263.0   235.0 235.0 
 252.66666666666666 252.66666666666666   263.0 263.0   235.0 235.0 
 252.66666666666666 252.66666666666666   263.0 263.0   235.0 235.0 
 250.0 250.0   263.0 263.0   227.0 227.0 
 246.0 246.0   263.0 263.0   215.0 215.0 
 246.0 246.0   263.0 263.0   215.0 215.0 
 230.0 230.0   260.0 260.0   215.0 215.0 
 230.0 230.0   260.0 260.0   215.0 215.0 
 230.0 230.0   260.0 260.0   215.0 215.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 228.0 228.0   260.0 260.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
 222.66666666666666 222.66666666666666   244.0 244.0   209.0 209.0 
