AVG: 7714.0 34.333333333333336  MAX: 22431.0 101.0  MIN: 338.0 1.0 
AVG: 354.6666666666667 1.0  MAX: 371.0 1.0  MIN: 338.0 1.0 
AVG: 345.6666666666667 1.0  MAX: 371.0 1.0  MIN: 328.0 1.0 
AVG: 345.6666666666667 1.0  MAX: 371.0 1.0  MIN: 328.0 1.0 
AVG: 325.6666666666667 1.0  MAX: 338.0 1.0  MIN: 311.0 1.0 
AVG: 321.6666666666667 1.0  MAX: 338.0 1.0  MIN: 311.0 1.0 
AVG: 321.6666666666667 1.0  MAX: 338.0 1.0  MIN: 311.0 1.0 
AVG: 320.3333333333333 1.0  MAX: 338.0 1.0  MIN: 307.0 1.0 
AVG: 320.3333333333333 1.0  MAX: 338.0 1.0  MIN: 307.0 1.0 
AVG: 320.3333333333333 1.0  MAX: 338.0 1.0  MIN: 307.0 1.0 
AVG: 320.3333333333333 1.0  MAX: 338.0 1.0  MIN: 307.0 1.0 
AVG: 320.3333333333333 1.0  MAX: 338.0 1.0  MIN: 307.0 1.0 
AVG: 320.3333333333333 1.0  MAX: 338.0 1.0  MIN: 307.0 1.0 
AVG: 309.0 1.0  MAX: 320.0 1.0  MIN: 300.0 1.0 
AVG: 309.0 1.0  MAX: 320.0 1.0  MIN: 300.0 1.0 
AVG: 309.0 1.0  MAX: 320.0 1.0  MIN: 300.0 1.0 
AVG: 304.3333333333333 1.0  MAX: 320.0 1.0  MIN: 293.0 1.0 
AVG: 304.3333333333333 1.0  MAX: 320.0 1.0  MIN: 293.0 1.0 
AVG: 304.3333333333333 1.0  MAX: 320.0 1.0  MIN: 293.0 1.0 
AVG: 304.3333333333333 1.0  MAX: 320.0 1.0  MIN: 293.0 1.0 
AVG: 304.3333333333333 1.0  MAX: 320.0 1.0  MIN: 293.0 1.0 
AVG: 304.3333333333333 1.0  MAX: 320.0 1.0  MIN: 293.0 1.0 
AVG: 304.3333333333333 1.0  MAX: 320.0 1.0  MIN: 293.0 1.0 
AVG: 304.3333333333333 1.0  MAX: 320.0 1.0  MIN: 293.0 1.0 
AVG: 304.3333333333333 1.0  MAX: 320.0 1.0  MIN: 293.0 1.0 
AVG: 304.3333333333333 1.0  MAX: 320.0 1.0  MIN: 293.0 1.0 
AVG: 304.3333333333333 1.0  MAX: 320.0 1.0  MIN: 293.0 1.0 
AVG: 300.6666666666667 1.0  MAX: 320.0 1.0  MIN: 282.0 1.0 
AVG: 300.6666666666667 1.0  MAX: 320.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 296.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 295.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 295.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 295.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 295.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 295.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 293.3333333333333 1.0  MAX: 307.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
AVG: 288.6666666666667 1.0  MAX: 293.0 1.0  MIN: 282.0 1.0 
