AVG: 29566.666666666668 101.0  MAX: 85833.0 101.0  MIN: 651.0 101.0 
AVG: 5868523.0 101.0  MAX: 1.7602783E7 101.0  MIN: 993.0 101.0 
AVG: 662.6666666666666 101.0  MAX: 993.0 101.0  MIN: 402.0 101.0 
AVG: 4419.333333333333 67.66666666666667  MAX: 11981.0 101.0  MIN: 284.0 1.0 
AVG: 318.6666666666667 1.0  MAX: 338.0 1.0  MIN: 284.0 1.0 
AVG: 316.0 1.0  MAX: 338.0 1.0  MIN: 284.0 1.0 
AVG: 310.3333333333333 34.333333333333336  MAX: 329.0 101.0  MIN: 284.0 1.0 
AVG: 316.0 1.0  MAX: 338.0 1.0  MIN: 284.0 1.0 
AVG: 302.3333333333333 1.0  MAX: 326.0 1.0  MIN: 284.0 1.0 
AVG: 290.3333333333333 1.0  MAX: 297.0 1.0  MIN: 284.0 1.0 
AVG: 290.3333333333333 1.0  MAX: 297.0 1.0  MIN: 284.0 1.0 
AVG: 290.3333333333333 1.0  MAX: 297.0 1.0  MIN: 284.0 1.0 
AVG: 290.3333333333333 1.0  MAX: 297.0 1.0  MIN: 284.0 1.0 
AVG: 290.3333333333333 1.0  MAX: 297.0 1.0  MIN: 284.0 1.0 
AVG: 290.3333333333333 1.0  MAX: 297.0 1.0  MIN: 284.0 1.0 
AVG: 290.3333333333333 1.0  MAX: 297.0 1.0  MIN: 284.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 283.0 1.0  MAX: 290.0 1.0  MIN: 275.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 276.6666666666667 1.0  MAX: 290.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
