AVG: 6553.266666666667 6553.266666666667  MAX: 14995.2 14995.2  MIN: 982.2 982.2 
AVG: 7022.455555555556 7022.455555555556  MAX: 15386.933333333332 15386.933333333332  MIN: 1123.8 1123.8 
AVG: 7404.177777777778 7404.177777777778  MAX: 15753.433333333332 15753.433333333332  MIN: 1167.3333333333333 1167.3333333333333 
AVG: 8294.011111111111 8294.011111111111  MAX: 17089.7 17089.7  MIN: 1310.0333333333333 1310.0333333333333 
AVG: 9078.888888888889 9078.888888888889  MAX: 18989.633333333335 18989.633333333335  MIN: 1976.8 1976.8 
AVG: 10881.300000000001 10881.300000000001  MAX: 21648.2 21648.2  MIN: 2809.4 2809.4 
AVG: 14848.588888888888 14848.588888888888  MAX: 23759.233333333334 23759.233333333334  MIN: 5498.566666666667 5498.566666666667 
AVG: 18129.755555555555 18129.755555555555  MAX: 28631.7 28631.7  MIN: 5636.966666666666 5636.966666666666 
AVG: 124411.89999999998 124411.89999999998  MAX: 332611.1 332611.1  MIN: 7696.966666666666 7696.966666666666 
AVG: 127851.3 127851.3  MAX: 339014.63333333336 339014.63333333336  MIN: 10946.5 10946.5 
AVG: 135784.93333333335 135784.93333333335  MAX: 348122.13333333336 348122.13333333336  MIN: 15753.366666666667 15753.366666666667 
AVG: 269811.0333333334 269811.0333333334  MAX: 745846.8333333334 745846.8333333334  MIN: 16800.5 16800.5 
AVG: 277920.1777777778 277920.1777777778  MAX: 754507.8666666667 754507.8666666667  MIN: 24857.933333333334 24857.933333333334 
AVG: 722045.8333333334 722045.8333333334  MAX: 1687541.6666666667 1687541.6666666667  MIN: 31574.633333333335 31574.633333333335 
AVG: 893755.6555555556 893755.6555555556  MAX: 2171439.1 2171439.1  MIN: 52215.03333333333 52215.03333333333 
AVG: 1125636.2333333332 1125636.2333333332  MAX: 2848134.933333333 2848134.933333333  MIN: 55644.8 55644.8 
AVG: 1754344.4222222222 1754344.4222222222  MAX: 3315452.8333333335 3315452.8333333335  MIN: 67950.93333333333 67950.93333333333 
AVG: 2084984.9222222222 2084984.9222222222  MAX: 3341822.2 3341822.2  MIN: 74224.66666666667 74224.66666666667 
AVG: 2611676.5555555555 2611676.5555555555  MAX: 4401019.466666667 4401019.466666667  MIN: 88262.2 88262.2 
AVG: 3798617.9111111113 3798617.9111111113  MAX: 5959300.666666667 5959300.666666667  MIN: 673265.9666666667 673265.9666666667 
