AVG: 6108.355555555555 43.22222222222223  MAX: 10436.3 44.333333333333336  MIN: 1822.3666666666666 41.0 
AVG: 10180.111111111111 57.66666666666668  MAX: 21258.366666666665 67.66666666666667  MIN: 2751.2 44.333333333333336 
AVG: 11968.21111111111 65.44444444444444  MAX: 24332.166666666668 77.66666666666667  MIN: 3854.4666666666667 57.666666666666664 
AVG: 13104.311111111112 79.8888888888889  MAX: 24596.066666666666 91.0  MIN: 5234.133333333333 67.66666666666667 
AVG: 15163.411111111112 88.77777777777777  MAX: 26567.9 94.33333333333333  MIN: 6448.966666666666 84.33333333333333 
AVG: 19625.7 93.22222222222221  MAX: 29870.933333333334 94.33333333333333  MIN: 9873.033333333333 91.0 
AVG: 31434.399999999998 94.33333333333333  MAX: 44744.03333333333 94.33333333333333  MIN: 16027.433333333332 94.33333333333333 
AVG: 44670.455555555556 93.22222222222221  MAX: 61586.13333333333 94.33333333333333  MIN: 34171.6 91.0 
AVG: 61082.322222222225 94.33333333333333  MAX: 73287.9 94.33333333333333  MIN: 50984.166666666664 94.33333333333333 
AVG: 78004.8 94.33333333333333  MAX: 85225.43333333333 94.33333333333333  MIN: 69370.83333333333 94.33333333333333 
AVG: 236626.1 94.33333333333333  MAX: 550036.0333333333 94.33333333333333  MIN: 74542.2 94.33333333333333 
AVG: 253428.9 94.33333333333333  MAX: 565672.2 94.33333333333333  MIN: 79631.46666666666 94.33333333333333 
AVG: 427931.31111111114 94.33333333333333  MAX: 1049728.3666666667 94.33333333333333  MIN: 86460.0 94.33333333333333 
AVG: 1018669.6222222223 94.33333333333333  MAX: 1861209.0333333334 94.33333333333333  MIN: 114885.36666666667 94.33333333333333 
AVG: 1590722.9666666668 94.33333333333333  MAX: 2844953.966666667 94.33333333333333  MIN: 833015.3 94.33333333333333 
AVG: 2176109.322222222 94.33333333333333  MAX: 3258750.6 94.33333333333333  MIN: 1533845.5666666667 94.33333333333333 
AVG: 2861891.655555555 94.33333333333333  MAX: 3258092.7333333334 94.33333333333333  MIN: 2579235.933333333 94.33333333333333 
AVG: 4170708.455555556 94.33333333333333  MAX: 4517183.8 94.33333333333333  MIN: 3660551.2333333334 94.33333333333333 
AVG: 5726597.566666667 94.33333333333333  MAX: 6688299.4 94.33333333333333  MIN: 5221190.5 94.33333333333333 
AVG: 6800078.022222222 94.33333333333333  MAX: 7186727.266666667 94.33333333333333  MIN: 6195494.766666667 94.33333333333333 
