AVG: 6968.173333333333 5.666666666666667  MAX: 7260.3 7.0  MIN: 6512.44 3.0 
AVG: 5800.16 1.0  MAX: 5918.4 1.0  MIN: 5648.32 1.0 
AVG: 5303.106666666667 1.0  MAX: 5455.64 1.0  MIN: 5225.3 1.0 
AVG: 5027.166666666667 1.0  MAX: 5261.7 1.0  MIN: 4858.22 1.0 
AVG: 4852.913333333334 1.0  MAX: 5075.26 1.0  MIN: 4734.86 1.0 
AVG: 4716.233333333334 1.0  MAX: 4918.32 1.0  MIN: 4601.76 1.0 
AVG: 4605.146666666667 1.0  MAX: 4762.6 1.0  MIN: 4481.46 1.0 
AVG: 4519.94 1.0  MAX: 4650.96 1.0  MIN: 4416.38 1.0 
AVG: 4464.186666666667 1.0  MAX: 4564.34 1.0  MIN: 4374.84 1.0 
AVG: 4401.7266666666665 1.0  MAX: 4507.2 1.0  MIN: 4329.08 1.0 
AVG: 4359.9 1.0  MAX: 4435.9 1.0  MIN: 4316.32 1.0 
AVG: 4323.133333333333 1.0  MAX: 4366.32 1.0  MIN: 4299.32 1.0 
AVG: 4292.246666666667 1.0  MAX: 4342.4 1.0  MIN: 4264.76 1.0 
AVG: 4278.106666666667 1.0  MAX: 4342.4 1.0  MIN: 4245.02 1.0 
AVG: 4263.72 1.0  MAX: 4327.64 1.0  MIN: 4230.16 1.0 
AVG: 4252.986666666667 1.0  MAX: 4320.62 1.0  MIN: 4212.42 1.0 
AVG: 4238.42 1.0  MAX: 4311.5 1.0  MIN: 4198.68 1.0 
AVG: 4232.66 1.0  MAX: 4309.24 1.0  MIN: 4190.92 1.0 
AVG: 4217.046666666666 1.0  MAX: 4293.3 1.0  MIN: 4174.18 1.0 
AVG: 4210.973333333332 1.0  MAX: 4285.7 1.0  MIN: 4165.86 1.0 
AVG: 4194.933333333333 1.0  MAX: 4256.4 1.0  MIN: 4159.34 1.0 
AVG: 4180.993333333333 1.0  MAX: 4246.42 1.0  MIN: 4146.48 1.0 
AVG: 4169.366666666666 1.0  MAX: 4243.76 1.0  MIN: 4117.86 1.0 
AVG: 4150.186666666667 1.0  MAX: 4224.54 1.0  MIN: 4102.88 1.0 
AVG: 4137.753333333333 1.0  MAX: 4206.48 1.0  MIN: 4087.88 1.0 
AVG: 4125.086666666666 1.0  MAX: 4188.64 1.0  MIN: 4074.0 1.0 
AVG: 4115.266666666666 1.0  MAX: 4182.36 1.0  MIN: 4061.16 1.0 
AVG: 4106.2733333333335 1.0  MAX: 4171.22 1.0  MIN: 4046.06 1.0 
AVG: 4092.693333333333 1.0  MAX: 4148.38 1.0  MIN: 4040.6 1.0 
AVG: 4091.44 1.0  MAX: 4146.1 1.0  MIN: 4039.12 1.0 
AVG: 4083.9600000000005 1.0  MAX: 4139.9 1.0  MIN: 4033.18 1.0 
AVG: 4083.7599999999998 1.0  MAX: 4139.3 1.0  MIN: 4033.18 1.0 
AVG: 4070.066666666667 1.0  MAX: 4117.42 1.0  MIN: 4013.98 1.0 
AVG: 4063.8733333333334 1.0  MAX: 4116.14 1.0  MIN: 4002.72 1.0 
AVG: 4060.5533333333333 1.0  MAX: 4116.06 1.0  MIN: 3997.76 1.0 
AVG: 4054.8133333333335 1.0  MAX: 4115.8 1.0  MIN: 3985.54 1.0 
AVG: 4045.0533333333333 1.0  MAX: 4092.54 1.0  MIN: 3981.4 1.0 
AVG: 4035.9266666666667 1.0  MAX: 4078.96 1.0  MIN: 3974.42 1.0 
AVG: 4031.1133333333332 1.0  MAX: 4076.6 1.0  MIN: 3963.5 1.0 
AVG: 4029.52 1.0  MAX: 4076.1 1.0  MIN: 3959.22 1.0 
AVG: 4027.8799999999997 1.0  MAX: 4071.22 1.0  MIN: 3959.18 1.0 
AVG: 4013.5266666666666 1.0  MAX: 4045.08 1.0  MIN: 3959.18 1.0 
AVG: 4013.0399999999995 1.0  MAX: 4045.08 1.0  MIN: 3957.72 1.0 
AVG: 4006.56 1.0  MAX: 4036.22 1.0  MIN: 3951.76 1.0 
AVG: 4006.56 1.0  MAX: 4036.22 1.0  MIN: 3951.76 1.0 
AVG: 4001.56 1.0  MAX: 4027.44 1.0  MIN: 3951.76 1.0 
AVG: 3996.633333333333 1.0  MAX: 4025.48 1.0  MIN: 3939.44 1.0 
AVG: 3984.28 1.0  MAX: 4016.86 1.0  MIN: 3925.58 1.0 
AVG: 3983.36 1.0  MAX: 4014.1 1.0  MIN: 3925.58 1.0 
AVG: 3980.2333333333336 1.0  MAX: 4010.12 1.0  MIN: 3923.96 1.0 
AVG: 3975.1066666666666 1.0  MAX: 4006.62 1.0  MIN: 3917.2 1.0 
AVG: 3967.7400000000002 1.0  MAX: 4005.2 1.0  MIN: 3904.86 1.0 
AVG: 3967.7400000000002 1.0  MAX: 4005.2 1.0  MIN: 3904.86 1.0 
