AVG: 7579.586666666666 5.666666666666667  MAX: 7943.7 9.0  MIN: 7355.24 3.0 
AVG: 6538.873333333333 1.6666666666666667  MAX: 6851.82 3.0  MIN: 6364.22 1.0 
AVG: 5981.913333333333 1.0  MAX: 6158.56 1.0  MIN: 5809.42 1.0 
AVG: 5728.18 1.0  MAX: 5818.06 1.0  MIN: 5563.44 1.0 
AVG: 5551.579999999999 1.0  MAX: 5638.98 1.0  MIN: 5446.82 1.0 
AVG: 5418.693333333334 1.0  MAX: 5516.64 1.0  MIN: 5329.06 1.0 
AVG: 5322.7266666666665 1.0  MAX: 5491.66 1.0  MIN: 5194.54 1.0 
AVG: 5252.266666666666 1.0  MAX: 5382.66 1.0  MIN: 5141.38 1.0 
AVG: 5191.086666666667 1.0  MAX: 5331.1 1.0  MIN: 5107.36 1.0 
AVG: 5150.953333333334 1.0  MAX: 5263.16 1.0  MIN: 5086.06 1.0 
AVG: 5110.473333333333 1.0  MAX: 5233.58 1.0  MIN: 5048.42 1.0 
AVG: 5086.360000000001 1.0  MAX: 5202.68 1.0  MIN: 5023.02 1.0 
AVG: 5046.566666666667 1.0  MAX: 5154.14 1.0  MIN: 4987.64 1.0 
AVG: 5018.406666666667 1.0  MAX: 5152.92 1.0  MIN: 4929.68 1.0 
AVG: 5000.753333333333 1.0  MAX: 5124.8 1.0  MIN: 4910.84 1.0 
AVG: 4970.933333333333 1.0  MAX: 5071.76 1.0  MIN: 4906.98 1.0 
AVG: 4932.233333333334 1.0  MAX: 5048.16 1.0  MIN: 4864.48 1.0 
AVG: 4916.033333333333 1.0  MAX: 5013.12 1.0  MIN: 4856.28 1.0 
AVG: 4907.926666666666 1.0  MAX: 5004.64 1.0  MIN: 4852.8 1.0 
AVG: 4886.433333333333 1.0  MAX: 4981.42 1.0  MIN: 4829.16 1.0 
AVG: 4859.513333333333 1.0  MAX: 4936.5 1.0  MIN: 4807.7 1.0 
AVG: 4845.366666666666 1.0  MAX: 4919.54 1.0  MIN: 4795.9 1.0 
AVG: 4827.113333333334 1.0  MAX: 4881.38 1.0  MIN: 4780.74 1.0 
AVG: 4818.88 1.0  MAX: 4876.58 1.0  MIN: 4773.58 1.0 
AVG: 4802.246666666667 1.0  MAX: 4845.8 1.0  MIN: 4769.4 1.0 
AVG: 4793.353333333333 1.0  MAX: 4835.5 1.0  MIN: 4760.62 1.0 
AVG: 4782.506666666667 1.0  MAX: 4822.88 1.0  MIN: 4740.7 1.0 
AVG: 4774.026666666667 1.0  MAX: 4810.3 1.0  MIN: 4732.04 1.0 
AVG: 4763.086666666666 1.0  MAX: 4807.04 1.0  MIN: 4724.58 1.0 
AVG: 4751.646666666667 1.0  MAX: 4798.84 1.0  MIN: 4698.72 1.0 
AVG: 4744.213333333333 1.0  MAX: 4790.12 1.0  MIN: 4685.14 1.0 
AVG: 4730.259999999999 1.0  MAX: 4772.94 1.0  MIN: 4681.9 1.0 
AVG: 4705.813333333333 1.0  MAX: 4750.62 1.0  MIN: 4649.2 1.0 
AVG: 4705.813333333333 1.0  MAX: 4750.62 1.0  MIN: 4649.2 1.0 
AVG: 4695.013333333333 1.0  MAX: 4746.64 1.0  MIN: 4644.92 1.0 
AVG: 4690.266666666666 1.0  MAX: 4743.36 1.0  MIN: 4641.6 1.0 
AVG: 4682.2266666666665 1.0  MAX: 4742.46 1.0  MIN: 4625.3 1.0 
AVG: 4677.499999999999 1.0  MAX: 4736.98 1.0  MIN: 4622.44 1.0 
AVG: 4674.473333333333 1.0  MAX: 4727.98 1.0  MIN: 4622.36 1.0 
AVG: 4664.653333333333 1.0  MAX: 4721.12 1.0  MIN: 4615.48 1.0 
AVG: 4663.139999999999 1.0  MAX: 4721.0 1.0  MIN: 4615.48 1.0 
AVG: 4657.546666666666 1.0  MAX: 4721.0 1.0  MIN: 4602.4 1.0 
AVG: 4645.38 1.0  MAX: 4699.84 1.0  MIN: 4599.42 1.0 
AVG: 4643.686666666666 1.0  MAX: 4698.14 1.0  MIN: 4596.98 1.0 
AVG: 4639.486666666667 1.0  MAX: 4693.38 1.0  MIN: 4596.98 1.0 
AVG: 4632.413333333333 1.0  MAX: 4688.4 1.0  MIN: 4591.32 1.0 
AVG: 4625.386666666666 1.0  MAX: 4680.38 1.0  MIN: 4591.32 1.0 
AVG: 4621.713333333333 1.0  MAX: 4679.16 1.0  MIN: 4584.66 1.0 
AVG: 4615.786666666667 1.0  MAX: 4679.16 1.0  MIN: 4566.88 1.0 
AVG: 4610.946666666667 1.0  MAX: 4674.44 1.0  MIN: 4557.08 1.0 
AVG: 4606.5 1.0  MAX: 4674.44 1.0  MIN: 4550.38 1.0 
AVG: 4605.5 1.0  MAX: 4674.44 1.0  MIN: 4548.14 1.0 
AVG: 4599.953333333334 1.0  MAX: 4668.2 1.0  MIN: 4548.14 1.0 
AVG: 4595.346666666667 1.0  MAX: 4668.2 1.0  MIN: 4534.32 1.0 
AVG: 4591.593333333333 1.0  MAX: 4665.28 1.0  MIN: 4532.1 1.0 
AVG: 4591.593333333333 1.0  MAX: 4665.28 1.0  MIN: 4532.1 1.0 
AVG: 4591.320000000001 1.0  MAX: 4665.28 1.0  MIN: 4532.1 1.0 
AVG: 4581.126666666666 1.0  MAX: 4640.16 1.0  MIN: 4526.64 1.0 
AVG: 4573.446666666667 1.0  MAX: 4630.02 1.0  MIN: 4520.7 1.0 
AVG: 4573.099999999999 1.0  MAX: 4628.98 1.0  MIN: 4520.7 1.0 
AVG: 4556.986666666667 1.0  MAX: 4610.8 1.0  MIN: 4505.56 1.0 
AVG: 4554.84 1.0  MAX: 4610.8 1.0  MIN: 4499.12 1.0 
AVG: 4551.666666666667 1.0  MAX: 4608.96 1.0  MIN: 4496.58 1.0 
AVG: 4551.666666666667 1.0  MAX: 4608.96 1.0  MIN: 4496.58 1.0 
AVG: 4549.093333333333 1.0  MAX: 4608.96 1.0  MIN: 4490.42 1.0 
AVG: 4544.68 1.0  MAX: 4604.62 1.0  MIN: 4490.42 1.0 
AVG: 4543.166666666667 1.0  MAX: 4601.16 1.0  MIN: 4489.34 1.0 
AVG: 4534.506666666667 1.0  MAX: 4589.0 1.0  MIN: 4489.3 1.0 
AVG: 4531.946666666667 1.0  MAX: 4584.86 1.0  MIN: 4485.76 1.0 
AVG: 4526.5199999999995 1.0  MAX: 4579.76 1.0  MIN: 4482.56 1.0 
AVG: 4517.38 1.0  MAX: 4574.32 1.0  MIN: 4482.56 1.0 
AVG: 4517.38 1.0  MAX: 4574.32 1.0  MIN: 4482.56 1.0 
AVG: 4517.24 1.0  MAX: 4574.32 1.0  MIN: 4482.14 1.0 
AVG: 4513.666666666667 1.0  MAX: 4574.32 1.0  MIN: 4482.14 1.0 
AVG: 4505.986666666667 1.0  MAX: 4562.44 1.0  MIN: 4473.1 1.0 
AVG: 4505.986666666667 1.0  MAX: 4562.44 1.0  MIN: 4473.1 1.0 
AVG: 4498.900000000001 1.0  MAX: 4552.9 1.0  MIN: 4470.7 1.0 
AVG: 4494.106666666667 1.0  MAX: 4552.9 1.0  MIN: 4462.58 1.0 
AVG: 4492.026666666668 1.0  MAX: 4552.5 1.0  MIN: 4461.72 1.0 
AVG: 4490.513333333333 1.0  MAX: 4548.64 1.0  MIN: 4461.04 1.0 
AVG: 4489.02 1.0  MAX: 4544.16 1.0  MIN: 4461.04 1.0 
AVG: 4486.086666666666 1.0  MAX: 4535.36 1.0  MIN: 4461.04 1.0 
AVG: 4483.746666666667 1.0  MAX: 4528.34 1.0  MIN: 4461.04 1.0 
AVG: 4473.953333333334 1.0  MAX: 4523.62 1.0  MIN: 4439.68 1.0 
AVG: 4473.953333333334 1.0  MAX: 4523.62 1.0  MIN: 4439.68 1.0 
AVG: 4472.679999999999 1.0  MAX: 4523.62 1.0  MIN: 4439.68 1.0 
AVG: 4472.679999999999 1.0  MAX: 4523.62 1.0  MIN: 4439.68 1.0 
AVG: 4467.9800000000005 1.0  MAX: 4509.52 1.0  MIN: 4439.68 1.0 
AVG: 4462.3533333333335 1.0  MAX: 4501.68 1.0  MIN: 4439.68 1.0 
AVG: 4462.3533333333335 1.0  MAX: 4501.68 1.0  MIN: 4439.68 1.0 
AVG: 4462.3533333333335 1.0  MAX: 4501.68 1.0  MIN: 4439.68 1.0 
AVG: 4457.78 1.0  MAX: 4495.52 1.0  MIN: 4432.5 1.0 
AVG: 4452.693333333334 1.0  MAX: 4495.52 1.0  MIN: 4417.24 1.0 
AVG: 4450.12 1.0  MAX: 4495.52 1.0  MIN: 4412.46 1.0 
AVG: 4450.12 1.0  MAX: 4495.52 1.0  MIN: 4412.46 1.0 
AVG: 4449.526666666667 1.0  MAX: 4495.52 1.0  MIN: 4412.46 1.0 
AVG: 4446.1466666666665 1.0  MAX: 4495.52 1.0  MIN: 4412.46 1.0 
AVG: 4445.639999999999 1.0  MAX: 4494.0 1.0  MIN: 4412.46 1.0 
AVG: 4440.866666666666 1.0  MAX: 4490.94 1.0  MIN: 4401.2 1.0 
AVG: 4436.486666666667 1.0  MAX: 4485.18 1.0  MIN: 4401.2 1.0 
