AVG: 475.2266666666667 5.0  MAX: 510.36 7.0  MIN: 440.14 1.0 
AVG: 418.7866666666667 1.6666666666666667  MAX: 439.18 3.0  MIN: 402.32 1.0 
AVG: 389.64000000000004 1.0  MAX: 408.6 1.0  MIN: 377.18 1.0 
AVG: 376.3733333333333 1.0  MAX: 387.82 1.0  MIN: 368.84 1.0 
AVG: 367.74 1.0  MAX: 372.98 1.0  MIN: 363.28 1.0 
AVG: 361.91333333333336 1.0  MAX: 366.06 1.0  MIN: 357.36 1.0 
AVG: 359.41333333333336 1.0  MAX: 363.96 1.0  MIN: 353.7 1.0 
AVG: 357.12000000000006 1.0  MAX: 360.42 1.0  MIN: 352.42 1.0 
AVG: 355.76666666666665 1.0  MAX: 358.98 1.0  MIN: 352.2 1.0 
AVG: 353.7133333333333 1.0  MAX: 356.94 1.0  MIN: 349.9 1.0 
AVG: 352.96000000000004 1.0  MAX: 355.48 1.0  MIN: 349.38 1.0 
AVG: 351.26000000000005 1.0  MAX: 354.48 1.0  MIN: 347.12 1.0 
AVG: 349.41333333333336 1.0  MAX: 351.08 1.0  MIN: 346.24 1.0 
AVG: 348.24 1.0  MAX: 350.28 1.0  MIN: 345.28 1.0 
AVG: 347.3666666666666 1.0  MAX: 348.74 1.0  MIN: 344.82 1.0 
AVG: 346.43333333333334 1.0  MAX: 347.7 1.0  MIN: 343.92 1.0 
AVG: 345.28 1.0  MAX: 346.88 1.0  MIN: 343.2 1.0 
AVG: 344.5466666666667 1.0  MAX: 345.58 1.0  MIN: 342.68 1.0 
AVG: 343.36666666666673 1.0  MAX: 344.56 1.0  MIN: 342.68 1.0 
AVG: 342.2266666666667 1.0  MAX: 343.02 1.0  MIN: 341.42 1.0 
AVG: 341.62000000000006 1.0  MAX: 342.3 1.0  MIN: 340.88 1.0 
AVG: 341.24 1.0  MAX: 341.68 1.0  MIN: 340.88 1.0 
AVG: 340.8 1.0  MAX: 341.56 1.0  MIN: 340.1 1.0 
AVG: 339.94 1.0  MAX: 340.08 1.0  MIN: 339.66 1.0 
AVG: 339.35333333333335 1.0  MAX: 339.8 1.0  MIN: 338.54 1.0 
AVG: 338.5466666666666 1.0  MAX: 339.34 1.0  MIN: 337.34 1.0 
AVG: 337.85333333333335 1.0  MAX: 338.64 1.0  MIN: 337.04 1.0 
AVG: 337.2266666666667 1.0  MAX: 338.26 1.0  MIN: 336.62 1.0 
AVG: 336.6466666666667 1.0  MAX: 337.74 1.0  MIN: 336.0 1.0 
AVG: 336.22666666666663 1.0  MAX: 337.1 1.0  MIN: 335.64 1.0 
AVG: 335.70666666666665 1.0  MAX: 336.04 1.0  MIN: 335.38 1.0 
AVG: 335.00666666666666 1.0  MAX: 335.94 1.0  MIN: 334.02 1.0 
AVG: 334.46000000000004 1.0  MAX: 335.18 1.0  MIN: 334.02 1.0 
AVG: 334.11999999999995 1.0  MAX: 334.3 1.0  MIN: 334.02 1.0 
AVG: 333.58 1.0  MAX: 333.68 1.0  MIN: 333.4 1.0 
AVG: 333.46 1.0  MAX: 333.66 1.0  MIN: 333.32 1.0 
AVG: 333.3 1.0  MAX: 333.34 1.0  MIN: 333.26 1.0 
AVG: 333.16 1.0  MAX: 333.2 1.0  MIN: 333.12 1.0 
AVG: 332.82 1.0  MAX: 333.04 1.0  MIN: 332.6 1.0 
AVG: 332.48 1.0  MAX: 332.92 1.0  MIN: 331.98 1.0 
AVG: 332.41333333333336 1.0  MAX: 332.9 1.0  MIN: 331.84 1.0 
AVG: 332.18 1.0  MAX: 332.76 1.0  MIN: 331.84 1.0 
AVG: 331.8933333333334 1.0  MAX: 332.5 1.0  MIN: 331.48 1.0 
AVG: 331.8333333333333 1.0  MAX: 332.44 1.0  MIN: 331.36 1.0 
AVG: 331.38000000000005 1.0  MAX: 332.16 1.0  MIN: 330.76 1.0 
AVG: 331.11999999999995 1.0  MAX: 331.8 1.0  MIN: 330.76 1.0 
AVG: 331.0333333333333 1.0  MAX: 331.8 1.0  MIN: 330.5 1.0 
AVG: 330.84666666666664 1.0  MAX: 331.8 1.0  MIN: 330.32 1.0 
AVG: 330.6066666666666 1.0  MAX: 331.66 1.0  MIN: 330.06 1.0 
AVG: 330.6066666666666 1.0  MAX: 331.66 1.0  MIN: 330.06 1.0 
AVG: 330.3333333333333 1.0  MAX: 331.66 1.0  MIN: 329.56 1.0 
AVG: 330.22666666666663 1.0  MAX: 331.34 1.0  MIN: 329.56 1.0 
AVG: 330.0933333333333 1.0  MAX: 331.26 1.0  MIN: 329.5 1.0 
AVG: 329.72666666666663 1.0  MAX: 331.14 1.0  MIN: 328.92 1.0 
AVG: 329.72666666666663 1.0  MAX: 331.14 1.0  MIN: 328.92 1.0 
AVG: 329.5 1.0  MAX: 331.14 1.0  MIN: 328.44 1.0 
AVG: 329.3666666666666 1.0  MAX: 330.78 1.0  MIN: 328.44 1.0 
AVG: 329.02666666666664 1.0  MAX: 330.7 1.0  MIN: 328.08 1.0 
AVG: 328.8866666666667 1.0  MAX: 330.36 1.0  MIN: 328.08 1.0 
AVG: 328.6933333333334 1.0  MAX: 330.04 1.0  MIN: 327.88 1.0 
AVG: 328.58666666666664 1.0  MAX: 330.04 1.0  MIN: 327.72 1.0 
AVG: 328.44 1.0  MAX: 329.94 1.0  MIN: 327.38 1.0 
AVG: 328.2133333333333 1.0  MAX: 329.94 1.0  MIN: 327.18 1.0 
AVG: 327.6933333333333 1.0  MAX: 329.28 1.0  MIN: 326.88 1.0 
AVG: 327.68 1.0  MAX: 329.28 1.0  MIN: 326.88 1.0 
AVG: 327.68 1.0  MAX: 329.28 1.0  MIN: 326.88 1.0 
AVG: 327.50666666666666 1.0  MAX: 328.76 1.0  MIN: 326.88 1.0 
AVG: 327.35999999999996 1.0  MAX: 328.76 1.0  MIN: 326.44 1.0 
AVG: 327.2866666666667 1.0  MAX: 328.76 1.0  MIN: 326.22 1.0 
AVG: 327.26666666666665 1.0  MAX: 328.7 1.0  MIN: 326.22 1.0 
AVG: 326.98 1.0  MAX: 328.7 1.0  MIN: 326.0 1.0 
AVG: 326.94666666666666 1.0  MAX: 328.7 1.0  MIN: 326.0 1.0 
AVG: 326.78 1.0  MAX: 328.7 1.0  MIN: 325.5 1.0 
AVG: 326.32 1.0  MAX: 328.52 1.0  MIN: 324.68 1.0 
AVG: 326.3 1.0  MAX: 328.52 1.0  MIN: 324.68 1.0 
AVG: 326.3 1.0  MAX: 328.52 1.0  MIN: 324.68 1.0 
AVG: 326.3 1.0  MAX: 328.52 1.0  MIN: 324.68 1.0 
AVG: 325.84666666666664 1.0  MAX: 328.46 1.0  MIN: 324.28 1.0 
AVG: 325.75333333333333 1.0  MAX: 328.32 1.0  MIN: 324.14 1.0 
AVG: 325.75333333333333 1.0  MAX: 328.32 1.0  MIN: 324.14 1.0 
AVG: 325.6533333333333 1.0  MAX: 328.02 1.0  MIN: 324.14 1.0 
AVG: 325.50666666666666 1.0  MAX: 328.0 1.0  MIN: 324.12 1.0 
AVG: 325.35333333333335 1.0  MAX: 328.0 1.0  MIN: 323.94 1.0 
AVG: 325.08666666666664 1.0  MAX: 328.0 1.0  MIN: 323.32 1.0 
AVG: 325.00666666666666 1.0  MAX: 327.76 1.0  MIN: 323.32 1.0 
AVG: 324.98 1.0  MAX: 327.76 1.0  MIN: 323.32 1.0 
AVG: 324.8066666666667 1.0  MAX: 327.42 1.0  MIN: 323.32 1.0 
AVG: 324.73333333333335 1.0  MAX: 327.2 1.0  MIN: 323.32 1.0 
AVG: 324.44 1.0  MAX: 326.88 1.0  MIN: 323.0 1.0 
AVG: 324.3933333333334 1.0  MAX: 326.74 1.0  MIN: 323.0 1.0 
AVG: 324.35333333333335 1.0  MAX: 326.74 1.0  MIN: 322.88 1.0 
AVG: 324.28000000000003 1.0  MAX: 326.74 1.0  MIN: 322.74 1.0 
AVG: 324.1133333333333 1.0  MAX: 326.34 1.0  MIN: 322.68 1.0 
AVG: 324.08666666666664 1.0  MAX: 326.34 1.0  MIN: 322.68 1.0 
AVG: 324.03333333333336 1.0  MAX: 326.2 1.0  MIN: 322.66 1.0 
AVG: 324.03333333333336 1.0  MAX: 326.2 1.0  MIN: 322.66 1.0 
AVG: 324.03333333333336 1.0  MAX: 326.2 1.0  MIN: 322.66 1.0 
AVG: 323.64666666666665 1.0  MAX: 325.26 1.0  MIN: 322.62 1.0 
AVG: 323.32 1.0  MAX: 325.0 1.0  MIN: 322.34 1.0 
AVG: 323.21999999999997 1.0  MAX: 324.7 1.0  MIN: 322.34 1.0 
