AVG: 2241.0 9.666666666666666  MAX: 2450.72 17.0  MIN: 2093.42 5.0 
AVG: 1800.1666666666667 1.6666666666666667  MAX: 1861.3 3.0  MIN: 1743.9 1.0 
AVG: 1646.6066666666666 1.0  MAX: 1709.92 1.0  MIN: 1601.66 1.0 
AVG: 1563.76 1.0  MAX: 1618.34 1.0  MIN: 1530.78 1.0 
AVG: 1518.7399999999998 1.0  MAX: 1569.16 1.0  MIN: 1474.62 1.0 
AVG: 1479.3400000000001 1.0  MAX: 1508.14 1.0  MIN: 1443.08 1.0 
AVG: 1458.5200000000002 1.0  MAX: 1483.16 1.0  MIN: 1419.02 1.0 
AVG: 1436.1933333333334 1.0  MAX: 1457.62 1.0  MIN: 1397.92 1.0 
AVG: 1419.3199999999997 1.0  MAX: 1437.24 1.0  MIN: 1385.62 1.0 
AVG: 1408.88 1.0  MAX: 1428.5 1.0  MIN: 1378.88 1.0 
AVG: 1391.4666666666665 1.0  MAX: 1406.44 1.0  MIN: 1370.06 1.0 
AVG: 1382.3066666666666 1.0  MAX: 1399.94 1.0  MIN: 1360.5 1.0 
AVG: 1376.3933333333334 1.0  MAX: 1394.52 1.0  MIN: 1352.76 1.0 
AVG: 1368.74 1.0  MAX: 1383.16 1.0  MIN: 1347.22 1.0 
AVG: 1361.0333333333335 1.0  MAX: 1374.7 1.0  MIN: 1340.5 1.0 
AVG: 1356.84 1.0  MAX: 1371.36 1.0  MIN: 1337.74 1.0 
AVG: 1351.5866666666668 1.0  MAX: 1365.2 1.0  MIN: 1332.6 1.0 
AVG: 1347.5333333333333 1.0  MAX: 1359.94 1.0  MIN: 1328.08 1.0 
AVG: 1343.9333333333334 1.0  MAX: 1356.54 1.0  MIN: 1326.58 1.0 
AVG: 1338.9400000000003 1.0  MAX: 1355.26 1.0  MIN: 1319.9 1.0 
AVG: 1335.8666666666666 1.0  MAX: 1350.32 1.0  MIN: 1318.7 1.0 
AVG: 1328.5 1.0  MAX: 1341.62 1.0  MIN: 1315.4 1.0 
AVG: 1325.9666666666667 1.0  MAX: 1341.6 1.0  MIN: 1311.22 1.0 
AVG: 1319.02 1.0  MAX: 1329.6 1.0  MIN: 1304.68 1.0 
AVG: 1315.9466666666665 1.0  MAX: 1326.1 1.0  MIN: 1301.82 1.0 
AVG: 1314.72 1.0  MAX: 1325.5 1.0  MIN: 1301.58 1.0 
AVG: 1312.24 1.0  MAX: 1321.8 1.0  MIN: 1299.18 1.0 
AVG: 1309.8 1.0  MAX: 1321.46 1.0  MIN: 1298.42 1.0 
AVG: 1308.2733333333333 1.0  MAX: 1321.46 1.0  MIN: 1297.96 1.0 
AVG: 1306.2133333333334 1.0  MAX: 1316.72 1.0  MIN: 1297.96 1.0 
AVG: 1303.6200000000001 1.0  MAX: 1316.72 1.0  MIN: 1296.38 1.0 
AVG: 1300.9066666666665 1.0  MAX: 1311.04 1.0  MIN: 1294.34 1.0 
AVG: 1298.74 1.0  MAX: 1306.94 1.0  MIN: 1293.48 1.0 
AVG: 1297.4266666666665 1.0  MAX: 1305.72 1.0  MIN: 1291.1 1.0 
AVG: 1294.6066666666666 1.0  MAX: 1301.96 1.0  MIN: 1290.26 1.0 
AVG: 1291.6000000000001 1.0  MAX: 1300.24 1.0  MIN: 1286.82 1.0 
AVG: 1289.2933333333333 1.0  MAX: 1295.0 1.0  MIN: 1285.14 1.0 
AVG: 1286.9933333333333 1.0  MAX: 1292.9 1.0  MIN: 1282.56 1.0 
AVG: 1285.1133333333335 1.0  MAX: 1292.16 1.0  MIN: 1281.1 1.0 
AVG: 1283.1599999999999 1.0  MAX: 1290.24 1.0  MIN: 1279.5 1.0 
AVG: 1281.8066666666666 1.0  MAX: 1287.98 1.0  MIN: 1278.4 1.0 
AVG: 1279.9399999999998 1.0  MAX: 1283.36 1.0  MIN: 1278.06 1.0 
AVG: 1278.32 1.0  MAX: 1283.18 1.0  MIN: 1274.78 1.0 
AVG: 1277.5733333333335 1.0  MAX: 1283.18 1.0  MIN: 1274.76 1.0 
AVG: 1276.3466666666666 1.0  MAX: 1281.24 1.0  MIN: 1273.04 1.0 
AVG: 1275.3133333333333 1.0  MAX: 1280.16 1.0  MIN: 1272.74 1.0 
AVG: 1274.42 1.0  MAX: 1280.16 1.0  MIN: 1271.02 1.0 
AVG: 1273.5733333333333 1.0  MAX: 1278.08 1.0  MIN: 1271.02 1.0 
AVG: 1271.3866666666668 1.0  MAX: 1277.94 1.0  MIN: 1267.98 1.0 
AVG: 1271.2866666666666 1.0  MAX: 1277.94 1.0  MIN: 1267.94 1.0 
AVG: 1268.9733333333334 1.0  MAX: 1274.26 1.0  MIN: 1264.68 1.0 
AVG: 1268.3133333333335 1.0  MAX: 1274.26 1.0  MIN: 1262.7 1.0 
AVG: 1267.0866666666668 1.0  MAX: 1273.0 1.0  MIN: 1260.28 1.0 
AVG: 1266.4133333333334 1.0  MAX: 1270.98 1.0  MIN: 1260.28 1.0 
AVG: 1264.7733333333333 1.0  MAX: 1270.98 1.0  MIN: 1259.82 1.0 
AVG: 1263.92 1.0  MAX: 1269.78 1.0  MIN: 1258.46 1.0 
AVG: 1263.76 1.0  MAX: 1269.78 1.0  MIN: 1257.98 1.0 
AVG: 1262.9933333333333 1.0  MAX: 1268.98 1.0  MIN: 1257.98 1.0 
AVG: 1262.4666666666665 1.0  MAX: 1268.34 1.0  MIN: 1257.04 1.0 
AVG: 1261.4133333333332 1.0  MAX: 1266.74 1.0  MIN: 1256.28 1.0 
AVG: 1260.06 1.0  MAX: 1264.94 1.0  MIN: 1254.02 1.0 
AVG: 1258.44 1.0  MAX: 1263.46 1.0  MIN: 1250.64 1.0 
AVG: 1257.1200000000001 1.0  MAX: 1262.08 1.0  MIN: 1249.38 1.0 
AVG: 1254.8266666666666 1.0  MAX: 1260.36 1.0  MIN: 1245.32 1.0 
AVG: 1254.0999999999997 1.0  MAX: 1260.36 1.0  MIN: 1245.32 1.0 
AVG: 1253.7266666666665 1.0  MAX: 1260.36 1.0  MIN: 1244.72 1.0 
AVG: 1252.9666666666665 1.0  MAX: 1260.36 1.0  MIN: 1243.56 1.0 
AVG: 1251.8533333333332 1.0  MAX: 1259.52 1.0  MIN: 1242.5 1.0 
AVG: 1250.2733333333333 1.0  MAX: 1258.06 1.0  MIN: 1242.5 1.0 
AVG: 1250.1866666666667 1.0  MAX: 1257.98 1.0  MIN: 1242.5 1.0 
AVG: 1249.3999999999999 1.0  MAX: 1257.56 1.0  MIN: 1240.56 1.0 
AVG: 1249.2933333333333 1.0  MAX: 1257.24 1.0  MIN: 1240.56 1.0 
AVG: 1247.8933333333334 1.0  MAX: 1257.24 1.0  MIN: 1240.0 1.0 
AVG: 1247.1866666666667 1.0  MAX: 1257.18 1.0  MIN: 1238.32 1.0 
AVG: 1246.9466666666665 1.0  MAX: 1257.02 1.0  MIN: 1238.24 1.0 
AVG: 1245.7266666666667 1.0  MAX: 1254.64 1.0  MIN: 1238.24 1.0 
AVG: 1244.5133333333333 1.0  MAX: 1251.6 1.0  MIN: 1238.24 1.0 
AVG: 1243.5666666666668 1.0  MAX: 1251.6 1.0  MIN: 1236.88 1.0 
AVG: 1242.5200000000002 1.0  MAX: 1249.84 1.0  MIN: 1236.88 1.0 
AVG: 1241.9933333333336 1.0  MAX: 1248.26 1.0  MIN: 1236.88 1.0 
